Type,Qualifier,Name,Systematic_Name,Chromosome,Start,End
telomere,,,TEL01L,chrI,1,801
telomeric_repeat,,,,chrI,1,62
X_element_combinatorial_repeat,,,,chrI,63,336
ORF,Dubious,,YAL069W,chrI,335,649
CDS,,,,chrI,335,649
X_element,,,,chrI,337,801
ORF,Dubious,,YAL068W-A,chrI,538,792
CDS,,,,chrI,538,792
ARS,,,ARS102,chrI,707,776
ORF,Verified,seriPAUperin,YAL068C,chrI,1807,2169
CDS,,,,chrI,1807,2169
ORF,Uncharacterized,,YAL067W-A,chrI,2480,2707
CDS,,,,chrI,2480,2707
ORF,Verified,Suppressor of sulfoxyde EthiOnine resistance,YAL067C,chrI,7235,9016
CDS,,,,chrI,7235,9016
ARS,,,ARS103,chrI,7997,8547
ORF,Dubious,,YAL066W,chrI,10091,10399
CDS,,,,chrI,10091,10399
ORF,Uncharacterized,,YAL065C,chrI,11565,11951
CDS,,,,chrI,11565,11951
ORF,Uncharacterized,,YAL064W-B,chrI,12046,12426
CDS,,,,chrI,12046,12426
ORF,Uncharacterized,Topoisomerase I Damage Affected,YAL064C-A,chrI,13363,13743
CDS,,,,chrI,13363,13743
ORF,Verified,,YAL064W,chrI,21566,21850
CDS,,,,chrI,21566,21850
long terminal repeat,,,YALWdelta1,chrI,22230,22552
ORF,Uncharacterized,,YAL063C-A,chrI,22395,22685
CDS,,,,chrI,22395,22685
ORF,Verified,FLOcculation,YAL063C,chrI,24000,27968
CDS,,,,chrI,24000,27968
ARS,,,ARS104,chrI,30946,31183
ARS_consensus_sequence,,,,chrI,31002,31018
ORF,Verified,Glutamate DeHydrogenase,YAL062W,chrI,31567,32940
CDS,,,,chrI,31567,32940
ORF,Uncharacterized,,YAL061W,chrI,33448,34701
CDS,,,,chrI,33448,34701
ORF,Verified,Butanediol DeHydrogenase,YAL060W,chrI,35155,36303
CDS,,,,chrI,35155,36303
ORF,Dubious,,YAL059C-A,chrI,36496,36918
CDS,,,,chrI,36496,36918
ORF,Verified,ExtraCellular Mutant,YAL059W,chrI,36509,37147
CDS,,,,chrI,36509,37147
ORF,Verified,CalNExin and calreticulin homolog,YAL058W,chrI,37464,38972
CDS,,,,chrI,37464,38972
ORF,Dubious,,YAL056C-A,chrI,38696,39046
CDS,,,,chrI,38696,39046
ORF,Verified,,YAL056W,chrI,39259,41901
CDS,,,,chrI,39259,41901
ARS,,,ARS105,chrI,41992,42151
ORF,Verified,PEroXisome related,YAL055W,chrI,42177,42719
CDS,,,,chrI,42177,42719
ORF,Verified,Acetyl CoA Synthetase,YAL054C,chrI,42881,45022
CDS,,,,chrI,42881,45022
ORF,Verified,FLavin Carrier,YAL053W,chrI,45899,48250
CDS,,,,chrI,45899,48250
ORF,Verified,Oleate-Activated transcription Factor,YAL051W,chrI,48564,51707
CDS,,,,chrI,48564,51707
ORF,Verified,Altered Inheritance rate of Mitochondria,YAL049C,chrI,51855,52595
CDS,,,,chrI,51855,52595
ORF,Verified,GTPase EF-hand protein of Mitochondria,YAL048C,chrI,52801,54789
CDS,,,,chrI,52801,54789
ORF,Dubious,,YAL047W-A,chrI,54584,54913
CDS,,,,chrI,54584,54913
ORF,Verified,Spindle Pole Component,YAL047C,chrI,54989,56857
CDS,,,,chrI,54989,56857
ORF,Verified,BolA-like protein,YAL046C,chrI,57029,57385
CDS,,,,chrI,57029,57385
ORF,Dubious,,YAL045C,chrI,57488,57796
CDS,,,,chrI,57488,57796
ORF,Verified,BolA-like protein,YAL044W-A,chrI,57518,57850
CDS,,,,chrI,57518,57850
ORF,Verified,GlyCine cleaVage,YAL044C,chrI,57950,58462
CDS,,,,chrI,57950,58462
ORF,Verified,Pre-Trna Accumulation,YAL043C,chrI,58695,61052
CDS,,,,chrI,58695,61052
ORF,Dubious,,YAL042C-A,chrI,61231,61608
CDS,,,,chrI,61231,61608
ORF,Verified,ER Vesicle,YAL042W,chrI,61316,62563
CDS,,,,chrI,61316,62563
ORF,Verified,Cell Division Cycle,YAL041W,chrI,62840,65404
CDS,,,,chrI,62840,65404
ORF,Verified,CycLiN,YAL040C,chrI,65778,67520
CDS,,,,chrI,65778,67520
uORF,,,,chrI,67825,67836
ORF,Verified,CYtochrome C,YAL039C,chrI,68716,69525
CDS,,,,chrI,68716,69525
ARS,,,ARS106,chrI,70300,70469
ARS_consensus_sequence,,,,chrI,70418,70434
ORF,Verified,Cell Division Cycle,YAL038W,chrI,71786,73288
CDS,,,,chrI,71786,73288
ORF,Dubious,,YAL037C-B,chrI,72326,73300
CDS,,,,chrI,72326,73300
ORF,Uncharacterized,,YAL037C-A,chrI,73426,73518
CDS,,,,chrI,73426,73518
ORF,Uncharacterized,,YAL037W,chrI,74020,74823
CDS,,,,chrI,74020,74823
ORF,Verified,RiBosome interacting Gtpase,YAL036C,chrI,75043,76152
CDS,,,,chrI,75043,76152
ORF,Verified,Function Unknown Now,YAL035W,chrI,76427,79435
CDS,,,,chrI,76427,79435
ORF,Dubious,,YAL034C-B,chrI,79489,79842
CDS,,,,chrI,79489,79842
ORF,Verified,Mis TWelve-like,YAL034W-A,chrI,79718,80587
CDS,,,,chrI,79718,80587
ORF,Verified,Function Unknown Now,YAL034C,chrI,80710,81951
CDS,,,,chrI,80710,81951
ORF,Verified,Processing Of Precursor RNAs,YAL033W,chrI,82706,83227
CDS,,,,chrI,82706,83227
ORF,Verified,Pre-mRNA Processing,YAL032C,chrI,83335,84474
CDS,,,,chrI,83335,84474
ORF,Dubious,,YAL031W-A,chrI,84669,84977
CDS,,,,chrI,84669,84977
ORF,Verified,Glc7 Interacting Protein,YAL031C,chrI,84749,87031
CDS,,,,chrI,84749,87031
ORF,Verified,Suppressor of the Null allele of CAP,YAL030W,chrI,87286,87752
CDS,,,,chrI,87286,87387
intron,,,,chrI,87388,87500
CDS,,,,chrI,87501,87752
ORF,Verified,MYOsin,YAL029C,chrI,87855,92270
CDS,,,,chrI,87855,92270
