,Systematic name,RNA pol II  presence (per gene),TR indirect (mol/hour),TR (mol/hour)
0,YAL001C,0.224,,5.646
1,YAL002W,0.1553,,3.6540000000000004
2,YAL003W,1.1709,,106.878
3,YAL004W,0.2286,,31.8
4,YAL005C,1.5468,,72.20400000000001
5,YAL007C,0.0262,9.69,3.642
6,YAL008W,0.0151,2.784,2.274
7,YAL009W,,,
8,YAL010C,,1.71,
9,YAL011W,0.1383,,6.636
10,YAL012W,,19.02,
11,YAL013W,0.2132,8.874,15.204
12,YAL014C,0.0903,14.166,10.602
13,YAL015C,,1.0739999999999998,
14,YAL016C-A,,,
15,YAL016C-B,,,
16,YAL016W,0.2402,4.548,11.334000000000001
17,YAL017W,0.1867,,4.128
18,YAL018C,,0.078,
19,YAL019W,0.3229,4.428,8.562
20,YAL019W-A,,,
21,YAL020C,0.0679,0.72,6.102
22,YAL021C,0.3734,1.8780000000000001,13.373999999999999
23,YAL022C,,9.054,
24,YAL023C,0.4641,19.2,18.33
25,YAL024C,0.2454,0.588,5.130000000000001
26,YAL025C,,,
27,YAL026C,,,
28,YAL026C-A,,,
29,YAL027W,0.0385,,4.422
30,YAL028W,,1.452,
31,YAL029C,0.2347,4.452,4.782
32,YAL030W,0.0302,7.482,5.832
33,YAL031C,0.1432,,5.646
34,YAL031W-A,,,
35,YAL032C,,0.546,
36,YAL033W,0.035,6.228,6.054
37,YAL034C,0.1002,0.87,7.266
38,YAL034C-B,,,
39,YAL034W-A,0.1484,,15.366
40,YAL035W,0.5212,,15.594000000000001
41,YAL036C,0.0797,10.181999999999999,6.468
42,YAL037C-A,,,
43,YAL037C-B,,,
44,YAL037W,0.0147,0.108,1.6440000000000001
45,YAL038W,,,
46,YAL039C,,,
47,YAL040C,0.1892,4.032,9.774
48,YAL041W,0.2326,13.134,8.166
49,YAL042C-A,,,
50,YAL042W,0.203,20.01,14.652
51,YAL043C,,1.9259999999999997,
52,YAL044C,0.0442,,7.776
53,YAL044W-A,,,
54,YAL045C,0.0291,,8.508000000000001
55,YAL046C,0.0458,4.890000000000001,11.592
56,YAL047C,0.0615,,2.964
57,YAL047W-A,,,
58,YAL048C,0.0952,0.8220000000000001,4.308
59,YAL049C,0.0555,5.6339999999999995,6.75
60,YAL051W,0.0857,,2.4539999999999997
61,YAL053W,0.1567,5.712000000000001,6.0
62,YAL054C,0.0834,1.2,3.5100000000000002
63,YAL055W,0.0331,2.37,5.502000000000001
64,YAL056C-A,,,
65,YAL056W,,,
66,YAL058W,,,
67,YAL059C-A,,,
68,YAL059W,0.0713,4.926,10.05
69,YAL060W,,4.992,
70,YAL061W,0.0494,,3.552
71,YAL062W,0.0643,0.756,4.212
72,YAL063C,,,
73,YAL063C-A,,,
74,YAL064C-A,,,
75,YAL064W,,,
76,YAL064W-B,0.017,,4.0200000000000005
77,YAL065C,0.0284,0.102,6.617999999999999
78,YAL066W,,,
79,YAL067C,,,
80,YAL067W-A,,,
81,YAL068C,,,
82,YAL068W-A,,,
83,YAL069W,,,
84,YAR002C-A,0.0398,5.094,5.436
85,YAR002W,0.1908,4.596,10.608
86,YAR003W,0.0809,,5.688
87,YAR007C,0.1163,23.418,5.61
88,YAR008W,0.0155,0.912,1.686
89,YAR014C,,6.582000000000001,
90,YAR015W,0.0975,22.68,9.540000000000001
91,YAR018C,0.0642,21.618000000000002,4.422
92,YAR019C,0.0794,2.088,2.4480000000000004
93,YAR019W-A,,,
94,YAR020C,,,
95,YAR023C,,,
96,YAR027W,,2.838,
97,YAR028W,0.0948,2.694,12.120000000000001
98,YAR029W,0.036,,14.484
99,YAR030C,,,
100,YAR031W,0.0389,,3.9119999999999995
101,YAR033W,0.0242,,3.09
102,YAR035C-A,,,
103,YAR035W,,,
104,YAR042W,0.4481,1.44,11.31
105,YAR047C,,0.438,
106,YAR050W,0.3,,5.856000000000001
107,YAR053W,,,
108,YAR060C,0.0104,,2.8080000000000003
109,YAR064W,0.0131,,3.954
110,YAR066W,,,
111,YAR068W,0.0933,,17.316000000000003
112,YAR069C,,,
113,YAR070C,,,
114,YAR071W,,,
115,YAR073W,0.0475,,3.528
116,YAR075W,,0.126,
117,YBL001C,,11.783999999999999,
118,YBL002W,0.1624,84.222,37.002
119,YBL003C,0.1829,219.612,41.364000000000004
120,YBL004W,0.8362,,10.062
121,YBL005W,0.2587,3.294,7.943999999999999
122,YBL006C,0.102,19.650000000000002,16.932000000000002
123,YBL006W-A,,,
124,YBL007C,0.4313,9.888,10.398
125,YBL008W,,,
126,YBL008W-A,,,
127,YBL009W,0.0791,2.784,3.504
128,YBL010C,0.0299,4.65,3.1919999999999997
129,YBL011W,0.183,6.198,7.2299999999999995
130,YBL012C,0.03,,6.731999999999999
131,YBL013W,,,
132,YBL014C,0.2935,,9.84
133,YBL015W,0.081,,4.614
134,YBL016W,,,
135,YBL017C,,,
136,YBL018C,0.061,,11.538
137,YBL019W,0.0571,,3.2880000000000003
138,YBL020W,0.0846,3.186,4.416
139,YBL021C,0.0779,,16.152
140,YBL022C,0.1193,7.572,3.156
141,YBL023C,,1.962,
142,YBL024W,0.3789,2.3160000000000003,16.602
143,YBL025W,0.039,,8.033999999999999
144,YBL026W,0.0338,12.756,7.32
145,YBL027W,0.3836,59.076,36.222
146,YBL028C,,29.43,
